report_date,share_amt,total_redeem_amt,mfd_daily_yield,mfd_7daily_yield,Interest_O_N,Interest_1_W,Interest_1_M
2014-03-01,3053119,211279011,1.5698,6.001,2.698,3.419,4.209
2014-03-02,3029663,246199417,1.5695,5.971,2.698,3.419,4.209
2014-03-03,2983139,513017360,1.5559,5.928,2.085,2.821,4.262
2014-03-04,2953718,250562978,1.5429,5.895,2.083,3.5135,4.365
2014-03-05,3049545,209072753,1.5411,5.864,2.09,3.798,4.45
2014-03-06,3065651,243149884,1.5259,5.835,2.0547,2.486,4.64
2014-03-07,3080836,291087220,1.517,5.805,1.9948,2.403,4.586
2014-03-08,3117395,140323202,1.5148,5.774,2.698,3.419,4.209
2014-03-09,3101972,206312503,1.5145,5.744,2.698,3.419,4.209
2014-03-10,3059513,308040624,1.5048,5.716,1.919,2.358,4.574
2014-03-11,3052729,496039886,1.4965,5.69,1.873,2.258,4.293
2014-03-12,3116500,416491268,1.4997,5.667999999999999,1.9,2.211,3.872
2014-03-13,3097922,316973542,1.4878,5.647,1.96,2.5,3.83
2014-03-14,3094831,311575572,1.4831,5.627999999999999,1.8765,2.527,3.868
2014-03-15,3096649,242799048,1.4818,5.61,2.698,3.419,4.209
2014-03-16,3067775,390584547,1.4816,5.5920000000000005,2.698,3.419,4.209
2014-03-17,2981769,440624592,1.4628,5.568,1.869,2.671,3.938
2014-03-18,2988402,410240726,1.4726,5.555,2.05,2.88,4.022
2014-03-19,3050231,429298917,1.4786,5.544,2.8025,3.422,4.412
2014-03-20,3046517,336076380,1.4772,5.537999999999999,3.011,3.474,4.619
2014-03-21,3053406,259655286,1.4787,5.535,2.5,3.6,4.895
2014-03-22,3036976,138039412,1.4638,5.526,2.698,3.419,4.209
2014-03-23,3024936,186443311,1.4636,5.516,2.698,3.419,4.209
2014-03-24,2985178,437825259,1.4542,5.511,2.5,3.578,5.148
2014-03-25,2948912,312710515,1.446,5.496,2.5,3.6295,5.125
2014-03-26,2961652,450254233,1.4345,5.472,2.52,3.868,4.835
2014-03-27,2927002,359071642,1.4273,5.445,2.658,4.812,4.938
2014-03-28,2909650,405443946,1.4255,5.415,2.75,4.168,4.769
2014-03-29,2891959,155006056,1.4259,5.395,2.698,3.419,4.209
2014-03-30,2876101,264714811,1.4257,5.374,2.698,3.419,4.209
2014-03-31,2858457,423852634,1.431,5.361000000000001,2.8,4.184,4.617
2014-04-01,2842463,277429358,1.4368,5.356,2.866,4.205,4.6
2014-04-02,2897502,272612066,1.4369999999999998,5.357,2.95,4.225,4.6
2014-04-03,2919086,266605457,1.4364,5.362,2.95,4.103,4.6
2014-04-04,2927886,200192637,1.4338,5.367000000000001,2.763,2.997,4.597
2014-04-05,2945393,163199682,1.4318,5.37,2.698,3.419,4.209
2014-04-06,2926697,139576683,1.4314,5.372999999999999,2.698,3.419,4.209
2014-04-07,2914837,176966561,1.4312,5.372999999999999,2.698,3.419,4.209
2014-04-08,2916053,250015131,1.4263,5.367999999999999,2.713,3.591,4.437
2014-04-09,2937429,289330278,1.4239,5.36,2.74,3.67,4.401
2014-04-10,2939859,286914864,1.4202,5.351,2.74,3.708,4.375
2014-04-11,2934735,277077434,1.4106,5.3389999999999995,2.75,3.701,4.209
2014-04-12,2946528,123295320,1.4099,5.327000000000001,2.698,3.419,4.209
2014-04-13,2933533,178934722,1.4097,5.315,2.698,3.419,4.209
2014-04-14,2910087,415986984,1.4048,5.3,2.639,3.57,4.165
2014-04-15,2875506,285293076,1.4022,5.287000000000001,2.449,3.444,4.102
2014-04-16,2908819,255914640,1.3958,5.272,2.298,2.726,4.085
2014-04-17,2912523,265341592,1.3866,5.252999999999999,2.181,2.721,4.06
2014-04-18,2922873,225952909,1.3841,5.239,2.0,2.761,3.93
2014-04-19,2939493,146374940,1.3835,5.224,2.698,3.419,4.209
2014-04-20,2923152,161057781,1.383,5.21,2.698,3.419,4.209
2014-04-21,2915169,295635256,1.3866,5.2,1.98,2.713,3.767
2014-04-22,2898615,268810141,1.3813,5.188,1.9262,3.029,3.808
2014-04-23,2919913,278470936,1.3654,5.171,1.963,3.08,3.9511
2014-04-24,2890279,224536754,1.3515,5.152,2.303,3.521,4.32
2014-04-25,2885015,227764292,1.344,5.13,2.31,3.503,4.286
2014-04-26,2897428,158122962,1.3441,5.109,2.698,3.419,4.209
2014-04-27,2882231,191915377,1.3439,5.087,2.698,3.419,4.209
2014-04-28,2877379,327724735,1.3506,5.067,2.406,4.025,4.6
2014-04-29,2853524,307578349,1.3459999999999999,5.048,2.604,4.0738,4.593
2014-04-30,2897920,281835975,1.3511,5.04,2.5,4.134,4.604
2014-05-01,2869756,143362755,1.3364,5.032,2.698,3.419,4.209
2014-05-02,2883184,121222064,1.3362,5.0280000000000005,2.698,3.419,4.209
2014-05-03,2891049,199568043,1.3361,5.023,2.698,3.419,4.209
2014-05-04,2906657,413222034,1.3543,5.029,2.4,3.683,4.5
2014-05-05,2824443,309330781,1.3378,5.022,2.37,3.14,4.058
2014-05-06,2905951,341108696,1.3831,5.042,2.37,3.092,3.941
2014-05-07,2863638,239372999,1.3393,5.0360000000000005,2.37,3.1125,3.882
2014-05-08,2838099,273187499,1.3221,5.0280000000000005,2.23,3.204,3.79
2014-05-09,2862674,247743971,1.3244,5.022,2.2205,3.194,3.773
2014-05-10,2852023,147248328,1.3117,5.008,2.698,3.419,4.209
2014-05-11,2838321,152945581,1.3115,4.985,2.698,3.419,4.209
2014-05-12,2815352,293952908,1.3083,4.968999999999999,2.2135,3.18,3.66
2014-05-13,2802356,257918375,1.3022,4.9239999999999995,2.35,3.181,3.617
2014-05-14,2852527,316225442,1.2986,4.902,2.3666,3.236,3.5675
2014-05-15,2844893,238307643,1.2971,4.888,2.35,3.1355,3.651
2014-05-16,2857791,282094916,1.2986,4.874,2.37,3.129,3.69
2014-05-17,2822663,145854372,1.2818,4.8580000000000005,2.698,3.419,4.209
2014-05-18,2809644,153440019,1.2816,4.842,2.698,3.419,4.209
2014-05-19,2898922,293791406,1.3283,4.853,2.396,3.1,3.736
2014-05-20,2895643,260040720,1.3308,4.868,2.427,3.361,4.095
2014-05-21,2911102,250223726,1.3230000000000002,4.882,2.528,3.353,4.2
2014-05-22,2861597,251108485,1.2887,4.877,2.51,3.419,4.203
2014-05-23,2852542,229000787,1.281,4.867,2.53,3.405,4.0685
2014-05-24,2791828,154409868,1.2488,4.849,2.698,3.419,4.209
2014-05-25,2777627,231004758,1.2486,4.831,2.698,3.419,4.209
2014-05-26,2756785,274707572,1.249,4.788,2.5025,3.195,4.1
2014-05-27,2769548,321965845,1.2548,4.746,2.541,3.247,4.0
2014-05-28,2809791,415891684,1.2597,4.712,2.51,3.2,3.94
2014-05-29,2749214,313827800,1.2381,4.684,2.51,3.215,3.877
2014-05-30,2837931,312802179,1.2790000000000001,4.683,2.57,3.23,3.861
2014-05-31,2742696,142862063,1.2376,4.677,2.698,3.419,4.209
2014-06-01,2727106,149829253,1.2364,4.67,2.698,3.419,4.209
2014-06-02,2703115,170409506,1.2305,4.66,2.698,3.419,4.209
2014-06-03,2743880,385622582,1.2473,4.656000000000001,2.521,3.18,3.716
2014-06-04,2778597,303978838,1.2611,4.657,2.561,3.152,3.931
2014-06-05,2818746,355645445,1.2818,4.681,2.576,3.07,3.878
2014-06-06,2734534,274862067,1.2476,4.664,2.5808,3.15,3.984
2014-06-07,2747634,146203577,1.2474,4.669,2.698,3.419,4.209
2014-06-08,2734999,169525332,1.2473,4.675,2.698,3.419,4.209
2014-06-09,2776883,287520152,1.2719,4.698,2.58,3.13,4.161
2014-06-10,2755786,298190025,1.2628,4.706,2.57,3.13,4.159
2014-06-11,2837141,246127540,1.2723,4.712,2.592,3.15,4.381
2014-06-12,2825934,236467885,1.2625,4.702,2.597,3.154,4.719
2014-06-13,2877964,386799040,1.2801,4.718999999999999,2.6,3.04,4.814
2014-06-14,2841135,229916191,1.2678,4.73,2.698,3.419,4.209
2014-06-15,2816150,116623756,1.2677,4.742,2.698,3.419,4.209
2014-06-16,2786142,492349489,1.2581,4.734,2.6,3.006,5.058
2014-06-17,2723955,502560223,1.2436,4.724,2.6,3.031,4.941
2014-06-18,2697484,421920230,1.2244,4.697,2.639,3.074,4.972
2014-06-19,2610568,284956260,1.193,4.66,2.698,3.093,5.233
2014-06-20,2703469,286583065,1.2332,4.6339999999999995,2.759,3.402,5.435
2014-06-21,2589735,231003775,1.1774,4.585,2.698,3.419,4.209
2014-06-22,2568931,361285652,1.1773,4.535,2.698,3.419,4.209
2014-06-23,2542358,373779624,1.1818,4.494,2.755,3.448,5.526
2014-06-24,2535440,428471509,1.1875,4.463,2.971,3.483,5.638
2014-06-25,2435860,547295931,1.1376,4.416,2.995,3.464,5.492
2014-06-26,2358256,418742109,1.1175,4.375,2.974,3.552,5.035
2014-06-27,2387323,399444352,1.1403,4.324,2.885,3.781,5.012
2014-06-28,2343281,283400236,1.1247,4.296,2.698,3.419,4.209
2014-06-29,2316268,261170799,1.1245,4.2669999999999995,2.698,3.419,4.209
2014-06-30,2292434,456547794,1.1234,4.235,2.913,3.867,5.004
2014-07-01,2348416,374164541,1.1619,4.221,3.017,4.421,5.001
2014-07-02,2318344,328950951,1.1374,4.221,3.02,3.927,4.891
2014-07-03,2319231,289009780,1.1345,4.23,2.96,3.393,4.132
2014-07-04,2301547,264494550,1.1211,4.22,2.94,3.42,4.063
2014-07-05,2305614,272535138,1.121,4.218,2.698,3.419,4.209
2014-07-06,2281287,195530758,1.1209,4.216,2.698,3.419,4.209
2014-07-07,2267896,317612569,1.1216,4.215,2.952,3.421,4.047
2014-07-08,2247550,340453063,1.1183,4.191,3.253,3.52,4.046
2014-07-09,2264789,269642881,1.1169,4.18,3.351,3.736,4.1
2014-07-10,2286981,326009240,1.1305,4.178,3.3,3.711,4.1545
2014-07-11,2261069,240050748,1.12,4.177,3.285,3.723,4.163
2014-07-12,2251310,149081488,1.113,4.173,2.698,3.419,4.209
2014-07-13,2238968,199459990,1.1125,4.169,2.698,3.419,4.209
2014-07-14,2253536,284753279,1.1284,4.172,3.255,3.7035,4.313
2014-07-15,2255604,261722182,1.1341,4.181,3.218,3.646,4.417
2014-07-16,2293489,234775948,1.1377,4.192,3.2472,3.65,4.492
2014-07-17,2256241,298279385,1.1133,4.183,3.2465,3.641,4.588
2014-07-18,2281881,208671287,1.1215,4.184,3.245,3.651,4.73
2014-07-19,2269831,155464283,1.1131,4.184,2.698,3.419,4.209
